for alpha = 0.2

Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll013.ply.pcd | Recall: 0.286533% | Precision: 0.444444% | Corresp: 225 | GT Points: 349
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll014.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 181 | GT Points: 329
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll015.ply.pcd | Recall: 0.180505% | Precision: 0.520833% | Corresp: 192 | GT Points: 554
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll016.ply.pcd | Recall: 0.300752% | Precision: 0.980392% | Corresp: 204 | GT Points: 665
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll017.ply.pcd | Recall: 3.7594% | Precision: 12.1457% | Corresp: 247 | GT Points: 798
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll018.ply.pcd | Recall: 9.92282% | Precision: 30.303% | Corresp: 297 | GT Points: 907
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll019.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 258 | GT Points: 34
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll005.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 259 | GT Points: 212
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll006.ply.pcd | Recall: 1.83908% | Precision: 3.14961% | Corresp: 254 | GT Points: 435
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll007.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 203 | GT Points: 416
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll008.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 195 | GT Points: 271
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll009.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 260 | GT Points: 287
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll010.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 285 | GT Points: 421
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll011.ply.pcd | Recall: 0.74813% | Precision: 1.60428% | Corresp: 187 | GT Points: 401
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll012.ply.pcd | Recall: 0.255102% | Precision: 0.390625% | Corresp: 256 | GT Points: 392
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll013.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 252 | GT Points: 423
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll014.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 213 | GT Points: 378
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll015.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 215 | GT Points: 531
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll016.ply.pcd | Recall: 2.6534% | Precision: 6.55738% | Corresp: 244 | GT Points: 603
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll017.ply.pcd | Recall: 5.3719% | Precision: 13.2653% | Corresp: 294 | GT Points: 726
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll018.ply.pcd | Recall: 6.75204% | Precision: 18.5304% | Corresp: 313 | GT Points: 859
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll019.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 284 | GT Points: 100
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll005.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 207 | GT Points: 293
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll006.ply.pcd | Recall: 3.61446% | Precision: 4.81928% | Corresp: 249 | GT Points: 332
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll007.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 177 | GT Points: 289
