Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll014.ply.pcd | Precision: 57.1429% | Matches: 7 | Time: 372ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll015.ply.pcd | Precision: 100% | Matches: 10 | Time: 345ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll016.ply.pcd | Precision: 0% | Matches: 12 | Time: 374ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll017.ply.pcd | Precision: 40% | Matches: 10 | Time: 380ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll018.ply.pcd | Precision: 20% | Matches: 10 | Time: 374ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll019.ply.pcd | Precision: 25% | Matches: 16 | Time: 404ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll005.ply.pcd | Precision: 88.8889% | Matches: 9 | Time: 359ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll006.ply.pcd | Precision: 58.3333% | Matches: 12 | Time: 390ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll007.ply.pcd | Precision: 0% | Matches: 9 | Time: 398ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll008.ply.pcd | Precision: 37.5% | Matches: 8 | Time: 364ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll009.ply.pcd | Precision: 100% | Matches: 10 | Time: 364ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll010.ply.pcd | Precision: 11.1111% | Matches: 9 | Time: 365ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll011.ply.pcd | Precision: 12.5% | Matches: 8 | Time: 358ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll012.ply.pcd | Precision: 7.69231% | Matches: 13 | Time: 381ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll013.ply.pcd | Precision: 20% | Matches: 10 | Time: 376ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll014.ply.pcd | Precision: 12.5% | Matches: 8 | Time: 362ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll015.ply.pcd | Precision: 0% | Matches: 8 | Time: 355ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll016.ply.pcd | Precision: 0% | Matches: 14 | Time: 355ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll017.ply.pcd | Precision: 0% | Matches: 14 | Time: 414ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll018.ply.pcd | Precision: 15.3846% | Matches: 13 | Time: 376ms
Scene: ../kinect/scenes/scene039.ply.pcd | Model: ../kinect/objects/doll/Doll019.ply.pcd | Precision: 100% | Matches: 13 | Time: 396ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll005.ply.pcd | Precision: 81.8182% | Matches: 11 | Time: 399ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll006.ply.pcd | Precision: 12.5% | Matches: 8 | Time: 368ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll007.ply.pcd | Precision: 87.5% | Matches: 8 | Time: 382ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll008.ply.pcd | Precision: 0% | Matches: 7 | Time: 333ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll009.ply.pcd | Precision: 100% | Matches: 11 | Time: 332ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll010.ply.pcd | Precision: 0% | Matches: 13 | Time: 405ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll011.ply.pcd | Precision: 75% | Matches: 8 | Time: 364ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll012.ply.pcd | Precision: 14.2857% | Matches: 14 | Time: 378ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll013.ply.pcd | Precision: 66.6667% | Matches: 9 | Time: 380ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll014.ply.pcd | Precision: 92.8571% | Matches: 14 | Time: 361ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll015.ply.pcd | Precision: 0% | Matches: 7 | Time: 373ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll016.ply.pcd | Precision: 0% | Matches: 9 | Time: 378ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll017.ply.pcd | Precision: 72.7273% | Matches: 11 | Time: 371ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll018.ply.pcd | Precision: 42.8571% | Matches: 14 | Time: 376ms
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll019.ply.pcd | Precision: 7.69231% | Matches: 13 | Time: 405ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 18.1818% | Matches: 11 | Time: 393ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 60% | Matches: 10 | Time: 369ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 44.4444% | Matches: 9 | Time: 321ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 0% | Matches: 10 | Time: 355ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 11.1111% | Matches: 9 | Time: 397ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 40% | Matches: 10 | Time: 358ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 69.2308% | Matches: 13 | Time: 373ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 100% | Matches: 11 | Time: 373ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 25% | Matches: 8 | Time: 361ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 100% | Matches: 9 | Time: 363ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 53.8462% | Matches: 13 | Time: 360ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 20% | Matches: 10 | Time: 351ms
Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 87.5% | Matches: 8 | Time: 339ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 100% | Matches: 16 | Time: 377ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 83.3333% | Matches: 12 | Time: 349ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 66.6667% | Matches: 9 | Time: 362ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 33.3333% | Matches: 9 | Time: 348ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 100% | Matches: 11 | Time: 362ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 27.2727% | Matches: 11 | Time: 365ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 16.6667% | Matches: 6 | Time: 369ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 22.2222% | Matches: 9 | Time: 355ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 58.8235% | Matches: 17 | Time: 350ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 100% | Matches: 8 | Time: 376ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 87.5% | Matches: 8 | Time: 369ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 92.3077% | Matches: 13 | Time: 370ms
Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 85.7143% | Matches: 7 | Time: 343ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 100% | Matches: 10 | Time: 393ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 55.5556% | Matches: 9 | Time: 354ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 0% | Matches: 8 | Time: 339ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 90.9091% | Matches: 11 | Time: 346ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 23.0769% | Matches: 13 | Time: 360ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 0% | Matches: 8 | Time: 406ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 36.3636% | Matches: 11 | Time: 391ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 62.5% | Matches: 8 | Time: 378ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 0% | Matches: 7 | Time: 371ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 0% | Matches: 6 | Time: 331ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 22.2222% | Matches: 9 | Time: 392ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 0% | Matches: 7 | Time: 374ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 0% | Matches: 9 | Time: 369ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 60% | Matches: 10 | Time: 389ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 100% | Matches: 6 | Time: 381ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 12.5% | Matches: 8 | Time: 367ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 66.6667% | Matches: 9 | Time: 364ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 100% | Matches: 13 | Time: 385ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 41.6667% | Matches: 12 | Time: 417ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 53.8462% | Matches: 13 | Time: 396ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 0% | Matches: 10 | Time: 389ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 14.2857% | Matches: 7 | Time: 397ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 30% | Matches: 10 | Time: 382ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 16.6667% | Matches: 12 | Time: 372ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 12.5% | Matches: 8 | Time: 390ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 50% | Matches: 6 | Time: 415ms
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 100% | Matches: 14 | Time: 386ms
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 81.8182% | Matches: 11 | Time: 370ms
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 50% | Matches: 8 | Time: 331ms
