Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 18.1818% | Matches: 11 | Time: 297ms
 | ICP refinement score 0.000200177Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 80% | Matches: 10 | Time: 270ms
 | ICP refinement score 0.000311991Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 12.5% | Matches: 8 | Time: 283ms
 | ICP refinement score 0.000835287Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 100% | Matches: 14 | Time: 263ms
 | ICP refinement score 0.000288656Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 90% | Matches: 10 | Time: 276ms
 | ICP refinement score 0.000303603Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 16.6667% | Matches: 6 | Time: 274ms
 | ICP refinement score 0.000333661Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 27.2727% | Matches: 11 | Time: 257ms
 | ICP refinement score 0.000419696Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 0% | Matches: 9 | Time: 264ms
 | ICP refinement score 0.000420492Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 76.4706% | Matches: 17 | Time: 280ms
 | ICP refinement score 0.00037888Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 55.5556% | Matches: 9 | Time: 284ms
 | ICP refinement score 0.000459841Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 100% | Matches: 6 | Time: 282ms
 | ICP refinement score 0.00145443Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 0% | Matches: 12 | Time: 278ms
 | ICP refinement score 0.000945135Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 0% | Matches: 8 | Time: 271ms
 | ICP refinement score 0.0003945Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 50% | Matches: 10 | Time: 255ms
 | ICP refinement score 0.000245771Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 33.3333% | Matches: 9 | Time: 267ms
 | ICP refinement score 0.000208369Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 57.1429% | Matches: 7 | Time: 283ms
 | ICP refinement score 0.000299324Scene: ../kinect/scenes/scene036.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 28.5714% | Matches: 7 | Time: 265ms
 | ICP refinement score 0.00045344Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 100% | Matches: 17 | Time: 293ms
 | ICP refinement score 2.17318e-05Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 100% | Matches: 12 | Time: 302ms
 | ICP refinement score 5.25998e-05Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 0% | Matches: 9 | Time: 293ms
 | ICP refinement score 0.00070401Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 0% | Matches: 10 | Time: 301ms
 | ICP refinement score 0.000526306Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 60% | Matches: 10 | Time: 322ms
 | ICP refinement score 0.000326891Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 0% | Matches: 10 | Time: 326ms
 | ICP refinement score 0.000516697Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 75% | Matches: 12 | Time: 316ms
 | ICP refinement score 0.000747881Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 12.5% | Matches: 8 | Time: 309ms
 | ICP refinement score 0.000316011Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 0% | Matches: 9 | Time: 310ms
 | ICP refinement score 0.000319882Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 100% | Matches: 13 | Time: 288ms
 | ICP refinement score 0.000204232Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 100% | Matches: 9 | Time: 301ms
 | ICP refinement score 0.000113596Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 100% | Matches: 10 | Time: 308ms
 | ICP refinement score 5.65738e-05Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 85.7143% | Matches: 7 | Time: 298ms
 | ICP refinement score 0.000884155Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 3.57143% | Matches: 84 | Time: 261ms
 | ICP refinement score 0.00105272Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 0% | Matches: 82 | Time: 230ms
 | ICP refinement score 0.0011074Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 9.25926% | Matches: 54 | Time: 242ms
 | ICP refinement score 0.000659035Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 1.85185% | Matches: 54 | Time: 244ms
 | ICP refinement score 0.000461766Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 5.7971% | Matches: 69 | Time: 255ms
 | ICP refinement score 0.00085216Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 3.0303% | Matches: 66 | Time: 262ms
 | ICP refinement score 0.000591085Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 1.2987% | Matches: 77 | Time: 258ms
 | ICP refinement score 0.00072546Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 5.95238% | Matches: 84 | Time: 261ms
 | ICP refinement score 0.000516821Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 9.09091% | Matches: 66 | Time: 253ms
 | ICP refinement score 0.000471138Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 6% | Matches: 50 | Time: 249ms
 | ICP refinement score 0.00038495Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 0% | Matches: 78 | Time: 253ms
 | ICP refinement score 0.000841057Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 6.17284% | Matches: 81 | Time: 226ms
 | ICP refinement score 0.000915999Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 3.7037% | Matches: 54 | Time: 228ms
 | ICP refinement score 0.000822172Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 4.54545% | Matches: 88 | Time: 269ms
 | ICP refinement score 0.000430397Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 1.2987% | Matches: 77 | Time: 267ms
 | ICP refinement score 0.000437137Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 1.66667% | Matches: 60 | Time: 256ms
